Pool Name,Status,Open Date,Weekday,Weekend,Close Date,Weekday Closure,Pool Type,Phone,Location 1,Website
Bartholomew Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"5200 Berkman Dr.
Austin, TX
(30.305630359000077, -97.69783935199996)",Bartholomew Splash Pad (http://www.austintexas.gov/department/bartholomew-splash-pad)
Clarksville Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1811 W. 11th St.
Austin, TX
(30.282105005000062, -97.76410287199997)",Clarksville Splash Pad (http://www.austintexas.gov/department/clarksville-splash-pad)
Eastwood Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"3001 Harris Park Blvd.
Austin, TX
(30.291143504000047, -97.73212589899998)",Eastwoods Splash Pad (http://www.austintexas.gov/department/eastwoods-splash-pad)
Rosewood Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1182 Pleasant Valley
Austin, TX
(30.271339, -97.713836)",Rosewood Splash Pad (http://www.austintexas.gov/department/rosewood-splash-pad)
Barton Springs,Open,03/11/2017 05:00:00 AM,5 am - 10 pm,5 am - 10 pm,,Thursday between 9am - 7pm,Municipal,512-867-3080,"2201 Barton Springs Rd.
Austin, TX
(30.265983430000063, -97.76862557799996)",http://www.austintexas.gov/department/barton-springs-pool
Baily Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1101 W. 33rd St.
Austin, TX
(30.302605251000045, -97.74689354299994)",Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)
Chestnut Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1404 E. 16th St.
Austin, TX
(30.27750823100007, -97.73795600299997)",Chestnut Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)
Liz Carpenter Splashpad,Open,01/28/2017 08:00:00 AM,9 am - 9:45 pm,9 am - 9:45 pm,,,Splashpad,512-974-9331,"1000 Barton Springs Rd.
Austin, TX
(30.260196671000074, -97.75523145399995)",
Lott Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1108 Curves
Austin, TX
(30.269695108000064, -97.73017088999995)",Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad)
Pease Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1600 Parkway at Kingsbury
Austin, TX
(30.28291173100007, -97.75437819199999)",Pease Splash Pad (http://www.austintexas.gov/department/pease-splash-pad)
Ricky Guerrero Splashpad,Open,05/15/2017 09:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 08:00:00 PM,,Splashpad,512-974-9331,"1100 Brodie Street
Austin, TX
(30.246923898000034, -97.76367140099995)",Ricky Guerrero Splash Pad (http://www.austintexas.gov/department/ricky-guerrero-splash-pad)
Deep Eddy,Open,03/11/2017 08:00:00 AM,8 am to 8 pm,8 am to 8 pm,,,Municipal,512-472-8546,"401 Deep Eddy Ave.
Austin, TX
(30.277590365000037, -97.77288902099997)",http://www.austintexas.gov/department/deep-eddy-pool
Metz,Closed,06/12/2016 01:00:00 PM,1 pm - 8 pm ,1 pm - 8 pm ,08/13/2017 08:00:00 PM,Thursday,Neighborhood,512-974-9331,"2407 Canterbury St.
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Pool (http://www.austintexas.gov/department/metz-pool)
Shipe,Closed,,,,,,Neighborhood,512-974-9331,"4400 Ave. G
Austin, TX
(30.306847952000055, -97.72711577799998)",Shipe Pool (http://www.austintexas.gov/department/shipe-pool)
Shipe Wading,Closed,,,,,,Neighborhood,512-974-9331,"4400 Ave. G
Austin, TX
(30.306847952000055, -97.72711577799998)",Shipe Wading Pool (http://www.austintexas.gov/department/shipe-wading-pool)
Stacy Wading,Closed,06/12/2017 01:00:00 PM,1 pm - 8 pm,1 pm - 8 pm,08/13/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"1401 Sunset Lane
Austin, TX
(30.241312486000027, -97.74557365799996)",Little Stacy Wading Pool (http://www.austintexas.gov/department/little-stacy-wading-pool)
West Austin,Closed,06/12/2017 01:00:00 PM,1 pm - 8 pm,1 pm - 8 pm,08/13/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"1317 W. 10th St.
Austin, TX
(30.27739562900007, -97.75705321199996)",West Austin Pool (http://www.austintexas.gov/department/west-austin-pool)
Gillis,Closed,06/12/2017 01:00:00 PM,1 pm - 8 pm,1 pm - 8 pm,08/13/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"2504 S. Durwood Ave.
Austin, TX
(30.239795595000032, -97.75878452399996)",Gillis Pool (http://www.austintexas.gov/department/gillis-pool)
Givens,Closed,,,,,,Neighborhood,512-974-9331,"3811 E. 12th St.
Austin, TX
(30.27832090800007, -97.69072592299995)",Givens Pool (http://www.austintexas.gov/department/givens-pool)
Dottie Jordan,Closed,06/12/2017 08:00:00 AM,8 am - 8pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"2803 Loyola Ln.
Austin, TX
(30.314319348000026, -97.67341137899996)",Dottie Jordan Pool (http://www.austintexas.gov/department/dottie-jordan-pool)
Govalle,Closed,,,,,,Neighborhood,512-974-9331,"5200 Bolm Rd.
Austin, TX
(30.258835826000052, -97.69156788399994)",Govalle Pool (http://www.austintexas.gov/department/gillis-pool)
Kennemer,Closed,06/12/2017 01:00:00 PM,1 pm - 8 pm,1 pm - 8 pm,08/13/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"1032 Payton Gin Rd.
Austin, TX
(30.36075515300007, -97.70649799899996)",Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool)
Mabel Davis,Closed,05/27/2017 12:00:00 PM,,,,,Municipal,512-441-5247,"3427 Parker Lane
Austin, TX
(30.22025858300003, -97.74271075999997)",Mabel Davis (http://www.austintexas.gov/department/mabel-davis-pool)
Rosewood,Closed ,06/02/2017 12:00:00 PM,Temporarily Closed,Temporarily Closed,08/19/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"1182 Pleasant Valley
Austin, TX
(30.271339, -97.713836)",Rosewood Pool (http://www.austintexas.gov/department/rosewood-pool)
Patterson,Open,06/05/2017 08:00:00 AM,8 am - 7 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"1400 Wilshire Blvd.
Austin, TX
(30.296592644000043, -97.71400165799997)",Patterson Pool (http://www.austintexas.gov/department/patterson-pool)
Balcones,Open,06/05/2017 12:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"12017 Amherst Dr.
Austin, TX
(30.41340406100005, -97.72085543099996)",http://www.austintexas.gov/department/balcones-pool
Brentwood,Open,06/05/2017 08:00:00 AM,8 am to 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Tuesday,Neighborhood,512-974-9331,"6710 Arroyo Seco
Austin, TX
(30.340441576000046, -97.73037097399998)",Brentwood Pool (http://www.austintexas.gov/department/brentwood-pool)
Canyon Vista,Open,06/05/2017 08:00:00 AM,8 am - 8 pm ,11 am- 8 pm,08/19/2017 08:00:00 PM,Thursday,Neighborhood,512-974-9331,"8455 Spicewood Springs
Austin, TX
(30.427132347000054, -97.78468953899994)",Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool)
Dick Nichols,Open,06/05/2017 12:00:00 AM,11 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"8011 Beckett Rd.
Austin, TX
(30.21486475200004, -97.86331548799996)",Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool)
Dittmar,Open,06/05/2017 08:00:00 AM,8 am - 8 pm ,11 am - 8 pm,08/19/2017 08:00:00 PM,Tuesday,Neighborhood,512-974-9331,"1009 W. Dittmar Dr.
Austin, TX
(30.185743134000063, -97.80106115899997)",Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool)
Dove Springs,Open,06/05/2017 12:00:00 AM,8 am - 8 pm, 11 am - 8 pm,08/19/2017 08:00:00 PM,Thursday,Neighborhood,512-974-9331,"5701 Ainez Dr.
Austin, TX
(30.18812383100004, -97.73920481399995)",Dove Springs Pool (http://www.austintexas.gov/department/dove-springs-pool)
Martin,Open,06/05/2017 08:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"1626 Nash Hernandez Sr. Dr.
Austin, TX
(30.250938086000076, -97.73110151999998)",Martin Pool (http://www.austintexas.gov/department/martin-pool)
Metz Splashpad,Open,05/15/2017 12:00:00 AM,9 am - 8 pm,9 am - 8 pm,09/24/2017 12:00:00 AM,,Splashpad,512-974-9331,"2407 Canterbury St.
Austin, TX
(30.252683793000074, -97.71813028399998)",Metz Splash Pad (http://www.austintexas.gov/department/metz-splash-pad)
Murchison,Open,06/05/2017 08:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"3700 North Hills Dr.
Austin, TX
(30.35336556900006, -97.75870788799995)",Murchison Pool (http://www.austintexas.gov/department/murchison-pool)
Montopolis,Open,06/05/2017 08:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Tuesday,Neighborhood,512-974-9331,"1200 Montopolis Dr.
Austin, TX
(30.231947330000025, -97.69905656299994)",Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool)
Ramsey,Open,06/05/2017 08:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Thursday,Neighborhood,512-974-9331,"4201 Burnet Rd.
Austin, TX
(30.31187897700005, -97.74379847899996)",http://www.austintexas.gov/department/ramsey-pool
Reed,Open,06/05/2017 08:00:00 AM,8am - 8 pm ,11 am - 8 pm ,08/19/2017 08:00:00 PM,Tuesday,Neighborhood,512-974-9331,"2600 Pecos St.
Austin, TX
(30.303090361000045, -97.77087252699994)",Reed Pool (http://www.austintexas.gov/department/reed-pool)
Springwoods ,Open,06/05/2017 12:00:00 AM,8 am - 8 pm,11 am - 8 pm,,,Municipal,512-258-8082,"9810 Parliament House Rd
Austin, TX
(30.466694790000076, -97.78281477599995)",http://austintexas.gov/department/springwoods-pool
Stacy,Open,10/01/2016 12:00:00 PM,6 am - 8 pm,11 am to 8 pm,,Monday,Neighborhood,512-445-0304,"700 E. Live Oak St.
Austin, TX
(30.239596177000067, -97.74730836399999)",http://austintexas.gov/department/big-stacy-pool
Walunt Creek,Open,05/27/2017 12:00:00 PM,8 am - 8 pm,11 am - 8 pm,10/01/2017 07:00:00 PM,Wednesday,Municipal,512-834-0824,"12138 N. Lamar Blvd.
Austin, TX
(30.398443986000075, -97.67950234099999)",http://www.austintexas.gov/department/walnut-creek-pool
Westenfield,Open,06/05/2017 08:00:00 AM,8 am - 8 pm,11 am - 8 pm,08/19/2017 08:00:00 PM,Wednesday,Neighborhood,512-974-9331,"2000 Enfield Rd.
Austin, TX
(30.286483287000067, -97.76496863899996)",Westenfield website (http://www.austintexas.gov/department/westenfield-pool)
Bartholomew,Open,05/01/2017 03:00:00 PM,8 am to 8 pm,11 am to 8 pm,,,Municipal,512-974-1650,"1800 E. 51st St.
Austin, TX
(30.302395535000073, -97.69739842999996)",http://www.austintexas.gov/department/bartholomew-pool
Garrison,Open,04/22/2017 11:00:00 AM, 8 am - 8 pm,11 am - 8 pm,10/01/2017 12:00:00 AM,Wednesday,Municipal,512-442-4048,"6001 Manchaca Rd.
Austin, TX
(30.212930071000073, -97.80184931899998)",http://www.austintexas.gov/department/garrison-pool
Northwest,Open,05/01/2017 03:00:00 PM,8 am - 8 pm,11 pm - 8 pm,10/01/2017 07:00:00 PM,Thursday,Municipal,512-453-0194,"7000 Ardath St.
Austin, TX
(30.348728787000027, -97.73985425299998)",Northwest Pool (http://www.austintexas.gov/department/northwest-pool)
Civitan,Open,06/10/2017 12:00:00 AM,1 pm - 8 pm ,1 pm - 8 pm,08/13/2017 08:00:00 PM,Monday,Neighborhood,512-974-9331,"513 Vargas Rd.
Austin, TX
(30.237021979000076, -97.69142730499999)",Civitan Pool (http://www.austintexas.gov/department/civitan-pool)
Parque Zaragoza,Closed,06/19/2017 12:00:00 AM,1 pm - 8 pm,1 pm - 8 pm,08/13/2017 08:00:00 PM,Thursday,Neighborhood,512-974-9331,"741 Pedernales St.
Austin, TX
(30.262200781000047, -97.71307661199995)",Parque Zaragoza Pool (http://www.austintexas.gov/department/parque-zaragoza-pool)
